timestep,ID,x,y,z,u,v,w,fx,fy,fz,omx,omy,omz,tx,ty,tz
0.739,8,0.002002,0.002002,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,9,7.74958e-06,0,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,10,0.00100875,0,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,11,0.00200975,0,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,12,7.74958e-06,0.001001,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,13,0.00100875,0.001001,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,14,0.00200975,0.001001,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,15,7.74958e-06,0.002002,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,16,0.00100875,0.002002,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,17,0.00200975,0.002002,0.00110406,5.37826e-05,0,0.000310962,1.1182e-09,0,2.158e-09,0,-4.65832e-13,0,0,-5.63307e-25,0
0.739,18,0.000731246,0,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,19,0.00173225,0,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,20,0.00273325,0,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,21,0.000731246,0.001001,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,22,0.00173225,0.001001,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,23,0.00273325,0.001001,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,24,0.000731246,0.002002,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,25,0.00173225,0.002002,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.739,26,0.00273325,0.002002,0.00179584,0.000946166,0,-0.00062234,-1.12024e-09,0,-4.33521e-09,0,4.65833e-13,0,0,5.63307e-25,0
0.74,0,4.29081e-09,0,0.000103406,5.2109e-08,0,0.000311972,2.06493e-12,0,2.17973e-09,0,-1.98835e-20,0,0,-1.82989e-31,0
